,date,price
288,20150128  11:18:00,202.61
289,20150128  11:19:00,202.65
290,20150128  11:20:00,202.57
291,20150128  11:21:00,202.63
292,20150128  11:22:00,202.53
293,20150128  11:23:00,202.44
294,20150128  11:24:00,202.47
295,20150128  11:25:00,202.47
296,20150128  11:26:00,202.3
297,20150128  11:27:00,202.13
298,20150128  11:28:00,201.97
299,20150128  11:29:00,202.02
300,20150128  11:30:00,201.99
301,20150128  11:31:00,201.99
302,20150128  11:32:00,201.76
303,20150128  11:33:00,201.6
304,20150128  11:34:00,201.72
305,20150128  11:35:00,201.7
306,20150128  11:36:00,201.89
307,20150128  11:37:00,202.09
308,20150128  11:38:00,201.99
309,20150128  11:39:00,201.88
310,20150128  11:40:00,201.81
311,20150128  11:41:00,201.99
312,20150128  11:42:00,202.2
313,20150128  11:43:00,202.15
314,20150128  11:44:00,202.03
315,20150128  11:45:00,202.25
316,20150128  11:46:00,202.2
317,20150128  11:47:00,202.27
318,20150128  11:48:00,202.18
319,20150128  11:49:00,202.14
320,20150128  11:50:00,202.03
321,20150128  11:51:00,202.18
322,20150128  11:52:00,202.3
323,20150128  11:53:00,202.5
324,20150128  11:54:00,202.41
325,20150128  11:55:00,202.39
326,20150128  11:56:00,202.31
327,20150128  11:57:00,202.33
328,20150128  11:58:00,202.23
329,20150128  11:59:00,202.21
330,20150128  12:00:00,202.22
331,20150128  12:01:00,202.29
332,20150128  12:02:00,202.36
333,20150128  12:03:00,202.46
334,20150128  12:04:00,202.16
335,20150128  12:05:00,202.17
336,20150128  12:06:00,202.06
337,20150128  12:07:00,201.97
338,20150128  12:08:00,201.97
339,20150128  12:09:00,202.0
340,20150128  12:10:00,201.89
341,20150128  12:11:00,201.81
342,20150128  12:12:00,201.93
343,20150128  12:13:00,201.77
344,20150128  12:14:00,201.65
345,20150128  12:15:00,201.58
346,20150128  12:16:00,201.36
347,20150128  12:17:00,201.38
348,20150128  12:18:00,201.27
349,20150128  12:19:00,201.25
350,20150128  12:20:00,201.34
351,20150128  12:21:00,201.44
352,20150128  12:22:00,201.5
353,20150128  12:23:00,201.43
354,20150128  12:24:00,201.34
355,20150128  12:25:00,201.23
356,20150128  12:26:00,201.12
357,20150128  12:27:00,201.02
358,20150128  12:28:00,201.04
359,20150128  12:29:00,201.21
360,20150128  12:30:00,201.2
361,20150128  12:31:00,201.01
362,20150128  12:32:00,200.94
363,20150128  12:33:00,200.97
364,20150128  12:34:00,200.68
365,20150128  12:35:00,200.7
366,20150128  12:36:00,200.74
367,20150128  12:37:00,200.74
368,20150128  12:38:00,200.76
369,20150128  12:39:00,200.54
370,20150128  12:40:00,200.41
371,20150128  12:41:00,200.41
372,20150128  12:42:00,200.22
373,20150128  12:43:00,200.06
374,20150128  12:44:00,200.22
375,20150128  12:45:00,200.06
376,20150128  12:46:00,200.12
377,20150128  12:47:00,200.27
378,20150128  12:48:00,200.39
379,20150128  12:49:00,200.37
380,20150128  12:50:00,200.28
381,20150128  12:51:00,200.18
382,20150128  12:52:00,200.34
383,20150128  12:53:00,200.4
384,20150128  12:54:00,200.26
385,20150128  12:55:00,200.22
386,20150128  12:56:00,200.28
387,20150128  12:57:00,200.16
388,20150128  12:58:00,200.07
389,20150128  12:59:00,200.07
